Player Passing 2024-2025 Big 5 European Leagues (per 90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
105,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,29,1995,19.8,50.2,59.7,84.1,1020.8,354.3,14.3,16,89.6,30.7,32.9,93.4,5.05,9.75,51.8,0,0.01,0.02,-0.01,0.2,4.04,0.15,0.1,5.3,Matches
106,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,22,2002,2.6,26.2,35,74.7,414.2,84.6,13.1,15.8,82.9,11.5,14.6,78.9,1.15,1.92,60,0,0,0.04,0,0,1.15,1.15,0,3.08,Matches
107,Will Alves,eng ENG,FW,Leicester City,eng Premier League,19,2005,0,1,1,100,12,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
108,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,27,1996,15.3,20.8,26.5,78.3,363.4,108.4,10.5,11.6,91,6.47,7.71,83.9,2.94,4.97,59.2,0.07,0.07,0.07,-0.01,0.85,2.75,0.72,0,3.73,Matches
109,Harry Amass,eng ENG,DF,Manchester Utd,eng Premier League,17,2007,3.8,39.2,47.6,82.3,505.3,101.8,25.5,27.6,92.4,11.6,14.7,78.6,0.79,2.89,27.3,0,0,0.03,0,0.26,1.32,0,0,1.84,Matches
110,Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28,1996,4.2,20.5,26.7,76.8,318.3,71.7,11.7,12.6,92.5,6.19,7.62,81.3,1.9,3.57,53.3,0.24,0.12,0.12,0.12,1.43,0.95,0.95,0.48,2.86,Matches
111,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,30,1994,8.8,43.9,59.8,73.4,712.4,258.5,20.7,24.3,85,19.9,26.9,73.8,2.39,5.68,42,0,0.02,0.05,-0.02,0.68,3.18,0.68,0.11,4.09,Matches
112,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21,2003,1.1,52.7,62.7,84.1,980.9,361.8,21.8,24.5,88.9,23.6,26.4,89.7,6.36,8.18,77.8,0,0.27,0.27,-0.27,0.91,1.82,0,0,1.82,Matches
113,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,26,1998,24.1,30.6,38.2,80.1,490.5,213.5,16,17.5,91.4,11.5,14.2,81,2.16,4.36,49.5,0,0.03,0.07,-0.03,0.54,2.49,1,0.5,3.03,Matches
114,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,28,1996,27.1,61.4,70.2,87.5,961.6,303.9,30,32,93.7,28.4,31.9,89,1.88,3.43,54.8,0.11,0.12,0.11,-0.01,0.89,5.24,0.7,0.15,5.17,Matches
115,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,27,1996,27.5,49.9,64.8,77,913.7,351.9,22.2,24.8,89.3,19.9,23.3,85.2,6.51,12.8,50.7,0.18,0.24,0.33,-0.06,2.29,6.29,2.07,0.33,7.42,Matches
116,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,eng Premier League,18,2006,0.3,26.7,30,88.9,356.7,43.3,20,20,100,6.67,10,66.7,0,0,,0,0.33,0.33,-0.33,3.33,0,3.33,3.33,0,Matches
117,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,fr Ligue 1,18,2006,3.6,29.4,34.2,86.2,438.6,77.8,15.3,16.7,91.7,11.7,13.1,89.4,0.83,1.94,42.9,0,0.17,0.25,-0.17,1.39,1.11,1.39,0,3.33,Matches
118,Mathis Amougou,fr FRA,MF,Chelsea,eng Premier League,18,2006,0.1,70,70,100,690,300,60,60,100,10,10,100,0,0,,0,0,0,0,0,20,0,0,10,Matches
119,Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,18,2006,9.5,24.4,31.7,77.1,369.9,125.7,13.3,15.4,86.3,8.63,11.3,76.6,1.47,2.63,56,0,0.04,0.03,-0.04,0.74,2.42,0.42,0,3.79,Matches
120,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24,2000,27.4,19.4,27.6,70.3,297.4,58.7,10.7,14.4,73.9,5.95,7.45,79.9,1.64,2.34,70.3,0.33,0.15,0.14,0.18,1.28,1.06,0.95,0.18,2.23,Matches
121,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,27,1996,2,56,66.5,84.2,1070,264,23,25,92,25,29.5,84.7,6.5,10,65,0,0.05,0.05,-0.05,1,5,0,0,7,Matches
122,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28,1996,1,61,83,73.5,1227,526,19,21,90.5,31,37,83.8,9,21,42.9,0,0,0,0,0,9,1,0,4,Matches
123,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28,1996,28.7,57.6,69.7,82.7,1270.8,503,15.9,17.3,91.8,32,34.3,93.2,9.37,17,55.2,0,0.02,0.02,-0.02,0.14,6.83,0.21,0.1,3.9,Matches
124,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,21,2002,30.3,35.8,45.7,78.3,576.2,195.4,18.9,21.1,89.4,13.3,16.4,81,2.54,5.45,46.7,0.2,0.11,0.12,0.09,1.22,3.99,0.63,0.07,4.72,Matches
125,André,br BRA,MF,Wolves,eng Premier League,23,2001,27.5,45.3,48.8,92.9,714.9,198.9,23.5,24.6,95.4,17.3,18.2,95,2.91,3.56,81.6,0,0.03,0.03,-0.03,0.65,4.04,0.18,0,3.96,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
126,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,33,1990,29.9,53,63.9,83,889.5,239.4,25.8,28.8,89.6,21.3,24.6,86.3,4.62,6.96,66.3,0.1,0.06,0.09,0.04,0.7,6.92,0.6,0.1,6.99,Matches
127,Marcos André,br BRA,FW,Valladolid,es La Liga,27,1996,13.2,10.5,15.9,65.7,178.6,29.9,5.98,7.8,76.7,3.18,4.92,64.6,1.06,1.36,77.8,0.15,0.06,0.02,0.09,0.68,0.98,0.23,0,1.21,Matches
128,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,29,1994,17.8,48.6,54.9,88.4,782.5,187.2,25.1,27.1,92.3,18.9,21,90.1,3.15,4.55,69.1,0.11,0.02,0.06,0.1,0.51,3.65,0.45,0,3.65,Matches
129,Angeliño,es ESP,DF,Roma,it Serie A,27,1997,35.3,43.7,55.8,78.4,801.5,282.1,18.3,20.7,88.8,20.3,24.6,82.4,4.59,8.84,51.9,0.03,0.1,0.11,-0.08,1.42,3.82,1.64,0.62,4.87,Matches
130,Lorenzo Anghelè,it ITA,FW,Juventus,it Serie A,19,2005,0.1,40,40,100,820,120,20,20,100,10,10,100,10,10,100,0,0,0,0,0,0,0,0,10,Matches
131,Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,22,2001,12.4,28.6,35.6,80.5,503.8,174,13,15.2,85.6,12.7,14.2,89.8,2.26,4.35,51.9,0.24,0.14,0.09,0.1,1.37,3.55,1.05,0.08,4.44,Matches
132,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,28,1996,21.7,76.7,84.8,90.4,1408,442.7,29.2,30.5,95.6,41.4,44.2,93.7,5.62,8.34,67.4,0.09,0.04,0.08,0.06,0.28,5.71,0.28,0.14,5.39,Matches
133,Leandro Antonetti,pr PUR,FW,Sevilla,es La Liga,21,2003,0.3,6.67,13.3,50,63.3,20,6.67,6.67,100,0,3.33,0,0,0,,0,0,0,0,3.33,0,0,0,0,Matches
134,Kyllian Antonio,fr FRA,"DF,MF",Lens,fr Ligue 1,16,2008,1.5,54,64.7,83.5,898,248.7,24,24.7,97.3,24.7,27.3,90.2,3.33,8,41.7,0,0,0,0,0,1.33,0,0,0,Matches
135,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,34,1990,9.3,12.3,20.2,60.6,234.7,45.6,5.59,7.74,72.2,3.98,6.67,59.7,2.37,3.33,71,0.11,0.17,0.1,-0.06,0.97,1.18,0.65,0.22,1.94,Matches
136,Antoniu,es ESP,"FW,MF",Espanyol,es La Liga,21,2002,11.4,13,19.4,67,181.7,55.8,7.81,9.56,81.7,4.12,5.88,70.1,0.35,1.23,28.6,0.09,0.1,0.1,-0.01,0.61,0.88,0.61,0.26,2.46,Matches
137,Antony,br BRA,"DF,MF",Manchester Utd,eng Premier League,24,2000,1.6,35,43.1,81.2,430,69.4,28.1,31.9,88.2,5.63,8.75,64.3,0.63,0.63,100,0,0.06,0.13,-0.06,1.88,0.63,3.13,1.25,3.75,Matches
138,Antony,br BRA,FW,Betis,es La Liga,24,2000,15.1,41.2,50.9,81,556.5,146.4,26.5,29.9,88.5,10.3,13.3,77.1,1.92,3.51,54.7,0.13,0.23,0.19,-0.1,2.38,2.25,2.85,0.46,4.44,Matches
139,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,29,1995,19.1,21.5,26.4,81.4,321.3,59.3,11.4,13,87.1,8.27,10,82.7,0.89,1.62,54.8,0,0.06,0.04,-0.06,0.37,0.99,0.16,0.1,1.57,Matches
140,Dennis Appiah,fr FRA,DF,Saint-Étienne,fr Ligue 1,32,1992,23.6,38.3,50,76.6,611.5,274.9,20.1,22.9,87.8,15.5,18.9,81.7,1.99,5.17,38.5,0.04,0.09,0.09,-0.05,0.55,3.43,1.06,0.3,4.58,Matches
141,Aritz Arambarri,es ESP,DF,Leganés,es La Liga,26,1998,2,24.5,33.5,73.1,512.5,129,5.5,6.5,84.6,17,20.5,82.9,2,6,33.3,0,0,0,0,0,0.5,0,0,1,Matches
142,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,28,1995,29.6,19.8,27,73.3,341.1,83,9.05,11.4,79.8,8.24,10.2,80.8,1.96,3.95,49.6,0,0.02,0.02,-0.02,0.57,2.5,0.14,0.03,2.53,Matches
143,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,22,2002,27.3,43.6,55.6,78.4,647.8,264.7,23.4,26,89.9,16.8,21.7,77.6,1.79,4.47,40.2,0.04,0.04,0.05,0,0.55,3,0.4,0.22,3.55,Matches
144,Julian Araujo,mx MEX,DF,Bournemouth,eng Premier League,22,2001,5.5,32.4,40.9,79.1,546.5,161.8,15.3,17.1,89.4,15.1,17.5,86.5,1.82,5.27,34.5,0,0.02,0.02,-0.02,0.18,3.09,0.55,0.36,2.55,Matches
145,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,25,1999,8.4,79.3,86.3,91.9,1477.1,471.1,26,27.9,93.2,46.2,48.3,95.6,5.95,8.33,71.4,0.12,0.05,0.02,0.07,0.48,6.07,0.36,0,5.83,Matches
146,Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23,2001,16,12.8,15.7,81.7,163.3,22.9,8.19,9.44,86.8,3.38,3.69,91.5,0.31,0.56,55.6,0,0.03,0.04,-0.03,0.31,0.44,0.44,0,0.88,Matches
147,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,28,1996,22.7,35.7,44.9,79.4,596.2,212.2,17.6,19.7,89.3,14.6,18.5,79.2,3.04,4.89,62.2,0.04,0.06,0.06,-0.02,0.75,2.56,0.88,0.44,3.08,Matches
148,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31,1993,25.1,27.4,39.4,69.6,726.1,489.4,6.1,6.14,99.4,13.3,13.9,95.4,7.89,18.8,41.9,0,0,0,0,0,0.44,0,0,0.04,Matches
149,Adu Ares,es ESP,FW,Athletic Club,es La Liga,22,2001,0.2,25,45,55.6,320,75,15,25,60,10,15,66.7,0,0,,0,0,0,0,0,0,5,0,15,Matches
150,Jesús Areso,es ESP,DF,Osasuna,es La Liga,25,1999,34.2,33.3,46,72.4,563.3,238.1,16.1,18.2,88.3,13.5,18.5,72.9,2.98,6.4,46.6,0.09,0.1,0.09,-0.01,0.88,2.81,1.46,0.88,3.1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
151,David Argüelles,es ESP,MF,Getafe,es La Liga,22,2002,0.1,30,50,60,250,20,30,40,75,0,0,,0,10,0,0,0,0,0,0,0,0,0,0,Matches
152,Joe Aribo,ng NGA,"MF,DF",Southampton,eng Premier League,28,1996,22.4,41.5,46.7,88.8,611.1,117.4,22.9,25.1,91.3,15.9,17.5,91.3,1.38,2.01,68.9,0,0.07,0.06,-0.07,0.71,2.28,0.18,0.04,3.35,Matches
153,Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,27,1997,13.9,16.6,20.7,80.2,238.8,32.1,9.93,11.4,87.3,5.83,6.83,85.3,0.43,0.94,46.2,0.14,0.09,0.04,0.06,0.65,0.72,0.58,0.14,1.51,Matches
154,Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,17,2007,0.5,14,30,46.7,298,30,6,8,75,4,10,40,4,8,50,0,0.2,0,-0.2,2,2,0,0,2,Matches
155,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,29,1995,1.5,34.7,51.3,67.5,480,166,21.3,24,88.9,5.33,10,53.3,4,10,40,0,0.07,0.27,-0.07,2,1.33,2.67,2,2.67,Matches
156,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,21,2003,19.5,38.5,48.5,79.4,618.1,151.2,18.9,21.9,86.2,15.5,18,86,2.72,4.87,55.8,0.15,0.14,0.16,0.01,1.79,3.28,2.15,0.26,5.23,Matches
157,Marko Arnautović,at AUT,FW,Inter,it Serie A,35,1989,6.1,18.5,25.9,71.5,239.7,42.1,11.8,14.6,80.9,5.41,7.38,73.3,0.33,0.66,50,0.33,0.2,0.15,0.13,1.15,0.98,1.31,0,2.62,Matches
158,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,30,1994,26.2,40,51.8,77.2,810.1,266.8,14,15.6,89.7,18.7,21.5,86.9,6.53,12.7,51.4,0.19,0.13,0.17,0.06,1.72,5.04,0.73,0.31,4.89,Matches
159,Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,de Bundesliga,24,2000,7.9,12.9,22,58.6,258.9,96.2,5.44,8.1,67.2,4.56,6.84,66.7,2.66,5.19,51.2,0,0.13,0.22,-0.13,1.39,0.89,1.52,0.38,2.66,Matches
160,Sergio Arribas,es ESP,DF,Betis,es La Liga,21,2003,1,37,54,68.5,533,210,22,23,95.7,12,20,60,2,5,40,0,0,0,0,0,1,0,0,1,Matches
161,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,29,1994,31,24.3,33.1,73.2,662.3,449.8,3.87,3.94,98.4,12.6,12.8,98.2,7.77,16.1,48.2,0,0,0,0,0.03,0.32,0,0,0.06,Matches
162,Arthur,br BRA,DF,Leverkusen,de Bundesliga,21,2003,8.4,36.4,46.2,78.9,545,149.4,21.8,23.1,94.3,12.5,17,73.4,1.31,2.98,44,0.12,0.05,0.12,0.07,0.24,2.38,0.83,0.12,2.98,Matches
163,Takuma Asano,jp JPN,"FW,MF",Mallorca,es La Liga,29,1994,11.7,12.6,18.7,67.6,177,41.5,7.95,9.4,84.5,4.1,5.73,71.6,0.34,1.45,23.5,0.09,0.06,0.05,0.03,0.51,0.68,0.26,0.17,1.71,Matches
164,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,21,2003,18.6,49.8,53.1,93.8,853.8,289.7,22.3,23.1,96.5,23.8,24.7,96.3,3.06,4.41,69.5,0.05,0.03,0.02,0.02,0.32,2.53,0.16,0,1.45,Matches
165,Marco Asensio,es ESP,MF,Aston Villa,eng Premier League,28,1996,8.3,29.2,37.7,77.3,431.4,130.2,16.6,18.3,90.8,10.1,12.4,81.6,1.33,3.98,33.3,0.12,0.12,0.14,0,1.93,2.41,1.33,0.24,5.42,Matches
166,Marco Asensio,es ESP,"FW,MF",Paris S-G,fr Ligue 1,28,1996,6.9,42.2,48.6,86.9,603.8,117.1,26.5,28.4,93.4,11.6,13.5,86,2.75,3.77,73.1,0.58,0.39,0.25,0.19,2.32,4.49,0.58,0.14,5.22,Matches
167,Kristjan Asllani,al ALB,MF,Inter,it Serie A,22,2002,11,78.9,88.5,89.2,1479,414,30.7,32,96,37.5,40.1,93.4,9.64,14.2,67.9,0.18,0.17,0.17,0.01,1.36,6.73,1.64,0.73,5,Matches
168,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,36,1987,19.4,34.1,45.2,75.4,551.7,157.9,18,22.1,81.4,10.4,13,79.4,3.76,5.41,69.5,0.26,0.24,0.2,0.02,1.96,3.81,1.8,0.21,6.8,Matches
169,Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,20,2003,15.6,30.2,41.9,72.1,552.1,140.6,14,16.5,85.2,11.8,15.3,77,3.97,7.37,53.9,0.06,0.18,0.22,-0.12,1.54,2.24,2.44,0.58,4.94,Matches
170,Lorenz Assignon,tg TOG,"DF,MF",Rennes,fr Ligue 1,24,2000,26.2,38.7,49.7,78,605.8,206.5,19.8,23.2,85.1,16.3,20.3,80.6,1.56,3.17,49.4,0.15,0.13,0.14,0.02,1.11,2.67,1.07,0.46,4.43,Matches
171,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,fr Ligue 1,19,2005,1.1,34.5,45.5,76,528.2,148.2,19.1,21.8,87.5,11.8,13.6,86.7,2.73,5.45,50,0,0.82,0.91,-0.82,4.55,0.91,1.82,1.82,0.91,Matches
172,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,18,2005,31.7,28.6,33.3,86,430.6,117,15.4,16.8,91.9,11.8,13.2,89.7,0.73,1.55,46.9,0,0.03,0.02,-0.03,0.38,2.08,0.25,0.03,2.93,Matches
173,Arthur Atta,fr FRA,"MF,FW",Udinese,it Serie A,21,2003,13.9,36.6,45.5,80.4,567.6,138.1,19.5,22.5,86.6,13.2,15,88.5,2.16,3.88,55.6,0.07,0.1,0.1,-0.03,1.29,3.02,0.58,0.14,4.1,Matches
174,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22,2002,25.6,33.2,44.5,74.5,934.7,677.1,5.27,5.31,99.3,17.6,17.9,98.5,10.2,21.2,48.3,0,0,0,0,0,1.05,0.04,0,0.08,Matches
175,Emil Audero,id IDN,GK,Como,it Serie A,27,1997,8,26.1,31.6,82.6,603.8,389.6,6.38,6.38,100,14.8,15,98.3,5,10.3,48.8,0,0,0,0,0,0.13,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
176,Tommaso Augello,it ITA,DF,Cagliari,it Serie A,29,1994,30.1,39.2,54.5,71.9,677.2,283.2,19,21.6,88.2,16.3,21.6,75.4,3.59,8.44,42.5,0.23,0.15,0.16,0.08,1.3,2.62,1.26,0.86,3.92,Matches
177,Carlos Augusto,br BRA,DF,Inter,it Serie A,25,1999,18.8,57.6,65.3,88.3,935.2,240.6,29.1,31.4,92.9,24.3,26.4,92.1,3.3,5.16,63.9,0.11,0.09,0.08,0.02,0.48,3.24,0.64,0.16,4.26,Matches
178,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,23,2000,18.3,64.4,70.2,91.8,1081.2,291.1,26.5,27.8,95.3,34,36,94.4,2.62,3.88,67.6,0.11,0.05,0.07,0.06,0.38,4.21,0.38,0.05,5.08,Matches
179,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,25,1999,1,22,32,68.8,526,386,7,7,100,9,9,100,6,16,37.5,0,0,0,0,0,0,0,0,0,Matches
180,Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,30,1994,7.5,22.1,31.7,69.7,368.3,81.9,11.9,14.7,80.9,7.47,10.4,71.8,2.13,4,53.3,0,0.13,0.13,-0.13,2,0.13,1.47,0.8,2.4,Matches
181,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,26,1997,4.6,13.3,20.9,63.5,153.3,34.1,9.13,12.8,71.2,3.04,5.43,56,0.22,1.09,20,0,0.02,0.02,-0.02,0.43,1.09,0.43,0,1.52,Matches
182,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,20,2003,21.8,36.4,44.6,81.5,546.6,152.7,21.3,23.3,91.4,12.3,14.6,84.3,1.83,4.5,40.8,0.05,0.11,0.12,-0.06,1.38,2.52,0.83,0.18,3.44,Matches
183,Florian Ayé,fr FRA,FW,Auxerre,fr Ligue 1,27,1997,6.4,14.8,20.2,73.6,192.8,24.1,9.84,12.5,78.8,3.44,4.53,75.9,0.47,0.63,75,0,0.02,0.02,-0.02,0.47,0.63,0.31,0,1.09,Matches
184,André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,34,1989,16.1,11.2,14.8,76.1,138.6,16.9,7.02,8.32,84.3,3.35,4.22,79.4,0,0.25,0,0.06,0.01,0.02,0.05,0.5,0.43,0.19,0,1.12,Matches
185,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,32,1991,0.2,40,50,80,835,20,15,15,100,20,30,66.7,5,5,100,0,0,0,0,5,0,0,0,0,Matches
186,Jordan Ayew,gh GHA,"FW,MF",Leicester City,eng Premier League,32,1991,18.2,22,29.7,74.3,326.5,66.8,12,13.8,86.9,7.58,10.1,75.4,1.32,3.24,40.7,0,0.06,0.08,-0.06,0.88,1.37,0.77,0.38,2.53,Matches
187,Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,23,2001,17.6,46.4,54.9,84.5,725.9,200.7,24.5,26.6,92.1,16.3,18.6,87.5,3.24,5.62,57.6,0.06,0.11,0.14,-0.06,1.25,4.32,0.4,0.11,4.26,Matches
188,Ayman Azhil,ma MAR,MF,Dortmund,de Bundesliga,23,2001,0.3,10,13.3,75,106.7,56.7,10,10,100,0,0,,0,0,,0,0,0,0,0,3.33,0,0,3.33,Matches
189,Adam Aznou,ma MAR,DF,Valladolid,es La Liga,18,2006,9.7,25.3,35.4,71.4,377.3,130,14.2,16.6,85.7,8.66,12.2,71.2,1.65,3.81,43.2,0,0.03,0.04,-0.03,0.62,1.75,0.41,0.21,2.58,Matches
190,Adam Aznou,ma MAR,DF,Bayern Munich,de Bundesliga,18,2006,0.2,65,85,76.5,890,220,45,50,90,20,30,66.7,0,0,,0,0,0,0,0,5,0,0,5,Matches
191,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,34,1989,9.7,59.9,69.2,86.6,931.3,355.8,30.9,33,93.8,24.7,27.7,89.2,2.89,6.49,44.4,0,0.01,0.04,-0.01,0.31,4.74,0.41,0.1,6.8,Matches
192,Paulo Azzi,br BRA,DF,Cagliari,it Serie A,30,1994,4.7,26.8,38.3,70,474,189.1,12.3,15.7,78.4,11.3,14.7,76.8,2.55,6.17,41.4,0,0.19,0.15,-0.19,1.06,1.49,1.28,0.85,2.77,Matches
193,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,23,2001,0.2,85,90,94.4,1520,490,30,30,100,50,50,100,5,5,100,0,0,0,0,0,10,0,0,20,Matches
194,Papa Ba,es ESP,MF,Girona,es La Liga,19,2004,0.5,10,26,38.5,158,14,6,16,37.5,2,4,50,2,4,50,0,0,0,0,0,2,0,0,0,Matches
195,Shavy Babicka,ga GAB,"MF,FW",Toulouse,fr Ligue 1,24,2000,13.2,14.8,22.1,67.1,198.2,48.7,8.94,11.7,76.1,4.55,6.44,70.6,0.38,1.14,33.3,0.15,0.12,0.14,0.03,0.98,0.61,0.98,0.38,1.59,Matches
196,Jacopo Bacci,it ITA,MF,Empoli,it Serie A,19,2005,0.3,20,36.7,54.5,376.7,153.3,13.3,13.3,100,3.33,10,33.3,3.33,6.67,50,0,0,0,0,0,3.33,0,0,3.33,Matches
197,Aliou Badara Baldé,gn GUI,"MF,FW",Bochum,de Bundesliga,21,2002,1,11,20,55,187,62,6,9,66.7,5,8,62.5,0,0,,0,0.2,0.2,-0.2,2,1,2,1,1,Matches
198,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,24,2000,29.8,52.4,61.1,85.7,1047.2,396.7,18,19.2,93.7,28.7,30.6,94,5.5,10.3,53.4,0.03,0.02,0.01,0.01,0.13,3.15,0.1,0,2.08,Matches
199,Milan Badelj,hr CRO,MF,Genoa,it Serie A,35,1989,16.4,41.5,51,81.5,717.8,241.2,18.6,21.6,85.9,18.2,20.2,90.3,3.66,6.83,53.6,0,0.07,0.05,-0.07,0.73,4.45,0.61,0,5.06,Matches
200,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,23,2001,3.7,73.8,82.2,89.8,1302.7,398.1,30,32.2,93.3,36.5,38.9,93.8,5.68,8.65,65.6,0,0,0.03,0,0,10,0.27,0,4.59,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
201,Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,23,2001,28.8,29.8,44.7,66.6,605.3,228.4,10.9,13.7,79.7,13.6,18.6,73.5,4.79,9.65,49.6,0.31,0.41,0.44,-0.09,3.3,3.3,2.5,0.66,6.56,Matches
202,Juma Bah,sl SLE,DF,Valladolid,es La Liga,18,2006,9.6,34.4,42.4,81.1,655.6,221.1,12.3,13.6,90.1,18.4,19.9,92.7,3.23,7.6,42.5,0,0,0,0,0.1,1.56,0,0,1.35,Matches
203,Juma Bah,sl SLE,DF,Lens,fr Ligue 1,18,2006,7.6,46.4,49.7,93.4,799.7,238.6,19.1,20.9,91.2,24.1,24.9,96.8,2.89,3.03,95.7,0,0.03,0.03,-0.03,0.26,0.92,0,0,1.18,Matches
204,Leon Bailey,jm JAM,"FW,MF",Aston Villa,eng Premier League,26,1997,12.7,21.8,30.7,71,339.6,83.1,12,14.6,81.7,7.87,9.69,81.3,1.42,2.99,47.4,0.16,0.12,0.24,0.04,1.26,1.26,1.57,0.16,2.76,Matches
205,Eric Bailly,ci CIV,DF,Villarreal,es La Liga,30,1994,6.9,40.6,46.4,87.5,727.4,277.4,14.9,15.8,94.5,21.7,23.9,90.9,3.33,5.94,56.1,0,0,0,0,0,2.61,0,0,2.61,Matches
206,Theo Bair,ca CAN,FW,Auxerre,fr Ligue 1,24,1999,10.4,12.7,20.5,62,147.9,34.5,8.08,11.7,68.9,2.69,4.71,57.1,0.29,0.77,37.5,0.1,0.12,0.09,-0.02,0.96,0.96,0,0,1.54,Matches
207,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,es La Liga,19,2004,10.8,27.8,38.7,71.8,545.6,148.1,11,13.9,79.3,11.9,14.6,81.6,4.44,8.15,54.5,0,0.02,0.03,-0.02,0.65,2.59,0.74,0,3.61,Matches
208,Cédric Bakambu,cd COD,FW,Betis,es La Liga,33,1991,7.9,10.6,15.9,66.7,122.4,27.6,7.59,9.87,76.9,1.9,3.54,53.6,0.25,0.51,50,0.25,0.08,0.1,0.18,1.01,1.14,0.63,0,1.77,Matches
209,Mitchel Bakker,nl NED,MF,Atalanta,it Serie A,24,2000,0.2,35,45,77.8,545,110,10,15,66.7,25,25,100,0,5,0,0,0,0,0,0,5,0,0,5,Matches
